1.00	Valery	ixpantia	overhead		Reunión de inicio semana
0.50	Valery	Coocique 	estimacion	calculo	Ejecución en estimación de riesgo #118 - #125
2.60	Valery	Coocique 	estimacion	calculo	Ejecución en estimación de riesgo #118 - #125
0.90	Valery	Supen	curso_optimizacion_portafolios	curso_optimizacion_portafolios	Ventanilla
0.10	Valery	Supen	curso_optimizacion_portafolios	curso_optimizacion_portafolios	Preparar clase
0.50	Valery	Coocique 	estimacion	calculo	Reunion de seguimiento interno
1.30	Valery	Supen	curso_optimizacion_portafolios	curso_optimizacion_portafolios	Preparar clase
0.30	Valery	Supen	curso_optimizacion_portafolios	curso_optimizacion_portafolios	Preparar clase
0.30	Valery	HCA	happycabbage	api_hcapipelines	Hacer pruebas con los servicios desplegados
0.70	Valery	Supen	curso_optimizacion_portafolios	curso_optimizacion_portafolios	Preparar clase
0.50	Valery	HCA	happycabbage	api_hcapipelines	Seguimiento interno
1.30	Valery	Supen	curso_optimizacion_portafolios	curso_optimizacion_portafolios	Preparar clase
1.00	Valery	HCA	happycabbage	api_hcapipelines	Hacer pruebas con los servicios desplegados
2.70	Valery	Supen	curso_optimizacion_portafolios	curso_optimizacion_portafolios	Preparar clase
2.00	Valery	Supen	curso_optimizacion_portafolios	curso_optimizacion_portafolios	Dar clase
0.30	Valery	Supen	curso_optimizacion_portafolios	curso_optimizacion_portafolios	Reunión de Seguimiento
